feature,var_importance,loss_importance
rolling_vol_7,191,151
daily_gross,167,101
cumulative_pnl,158,132
daily_fees,148,82
date_idx,140,161
rolling_vol_21,135,87
ewm_pnl_3,123,70
rolling_profit_factor,112,98
rolling_sortino_ratio,111,119
daily_volume,96,99
ewm_pnl_21,91,114
avg_trades_21d,85,136
ewm_pnl_7,81,55
ewm_volume_21,74,71
gross_profit,68,36
ewm_volume_3,67,91
rolling_max_drawdown,66,75
ewm_volume_7,51,98
n_trades,33,62
win_rate_21d,32,53
gross_loss,28,28
revenge_trading_proxy,8,27
large_loss_recent,5,35
daily_loss_flag,3,5
avg_win_21d,0,0
avg_loss_21d,0,0
