feature,train_mean,train_std,train_p25,train_p50,train_p75,recent_mean,recent_std,recent_p25,recent_p50,recent_p75,mean_drift,std_ratio
date_idx,267.0,154.45405046473405,133.0,267.0,401.0,546.0,6.646397759283082,540.0,546.0,552.0,1.8063624692422,0.04303155364883302
cumulative_pnl,12611.548399214347,171505.72642734883,-26393.301525899995,-1963.8592979999992,16691.265426369988,68917.77807497236,237122.88445936327,-18946.89621203999,3776.4931343699764,98105.52953132,0.32830524582866616,1.3825945605367091
daily_fees,200.7392857755661,374.6052504820757,26.770598,78.57028700000001,181.707763,86.27385568960474,145.31515877521878,9.2006,44.6719,88.26613,0.30556280227146126,0.38791543520635396
rolling_vol_21,6496.428159977925,10727.58852800622,549.1181109024786,2557.786592535699,6304.37798497105,3565.6327377322327,3885.539307768034,584.4060453941629,2280.8451384829987,3966.3785926550872,0.2732016999525675,0.3622006285588361
win_rate_21d,0.2877938261115831,0.18938433044372233,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.3365330321852061,0.2005521323494827,0.14285714285714285,0.38095238095238093,0.47619047619047616,0.25735605150578106,1.05896892995268
rolling_vol_7,5820.414165894329,11084.923154007145,110.25408982997284,1929.4897152397352,5185.422741699024,3146.523328937329,3749.4277265267383,410.1871628308645,2024.9617253545503,3464.4011491392607,0.24121870759094882,0.33824571216517235
ewm_volume_7,11714.88623508187,22640.48551857013,298.9367472363568,3495.1379789769726,10064.560250064933,6359.0396631546055,10291.654647300313,712.589384576597,2855.512650379201,6748.245113880399,0.2365605882228956,0.45456863718114027
ewm_volume_3,11608.26467842284,24190.401107210004,133.18677556043502,2937.7961360639356,9820.778270589179,5981.9670046077,10332.633516689686,304.5641986034333,2391.836070107197,5918.759917666805,0.23258389345747074,0.4271377506677948
ewm_volume_21,11861.113560580838,20831.4488561942,778.3158499076253,3914.081762308161,9963.640624139356,7138.88345204992,10743.09725199269,1063.7399949192934,3372.291898338415,7442.767274174203,0.22668755020966783,0.5157153170742172
rolling_max_drawdown,-25995.321056283778,46272.67098674778,-23040.212564,-9305.017963979997,-1120.3709000000001,-15703.381236580477,20548.81147076993,-19659.720319999993,-5856.400203,-837.869151,0.22241940221364417,0.44408094524412806
avg_trades_21d,4.722636242262411,4.011314112889909,1.380952380952381,4.095238095238095,7.190476190476191,5.587615283267456,4.819051247834897,1.5238095238095237,4.523809523809524,8.047619047619047,0.2156348305083324,1.201364714953578
daily_volume,11499.30603228547,28450.62907118574,0.0,1317.0,9401.0,5623.458498023715,12281.918917211,0.0,900.0,5800.0,0.20652785987817182,0.4316923498062677
gross_loss,3208.6304597382896,9146.882826872754,0.0,215.26999999999998,2444.9,1542.9987367588933,3076.992782334795,0.0,0.0,1865.46,0.1820982901501802,0.3363979664516409
large_loss_recent,0.46440101954120644,0.4987734809661314,0.0,0.0,1.0,0.3794466403162055,0.48621114742418314,0.0,0.0,1.0,0.17032657261003004,0.9748135300502543
gross_profit,2920.665256779822,9818.276499127858,0.0,0.0,1508.9900000000002,1842.4833154150201,3969.8433842065833,0.0,0.5,1831.08,0.10981376837976367,0.40433200109562756
revenge_trading_proxy,0.11045029736618521,0.31347683674783194,0.0,0.0,0.0,0.08695652173913043,0.2823298512866399,0.0,0.0,0.0,0.07494580818580747,0.900640204262845
daily_gross,-287.9652029584675,14100.00868822207,-2444.9,-215.26999999999998,1508.9900000000002,299.48457865612653,5562.0142956251475,-1865.46,0.5,1831.08,0.04166307940681499,0.3944688559140555
ewm_pnl_7,92.621059289853,4239.261828068126,-536.044981923941,-4.565904705356857e-08,387.3708930016693,266.02374508377187,2314.769462075708,-378.97730142329596,-0.1351739266783457,435.66073746663835,0.04090398112365028,0.5460312563720819
n_trades,4.724893797790994,6.001155608443071,0.0,3.0,8.0,4.4980237154150196,5.724234547794622,0.0,3.0,7.0,0.03780439915251409,0.9538553758217168
ewm_pnl_3,80.87447294199518,6789.513413574669,-655.5419309782267,-7.9215765663757825e-25,431.44694673916257,329.83300766283924,3136.820808129545,-577.7973768873422,-0.013439062533782463,574.6256249012622,0.036668096747952524,0.4620096635869806
ewm_pnl_21,117.57696514272914,2331.4020016364393,-357.26731006244296,-0.1030366461846659,293.63599545893027,61.76694491150786,1427.8522400507416,-265.7533084661151,-12.625244261156908,212.76267733895077,0.023938394233087284,0.6124436021940405
daily_loss_flag,0.31554800339847067,0.46477324238860984,0.0,0.0,1.0,0.3201581027667984,0.46746188061162564,0.0,0.0,1.0,0.009919028998839854,1.005784817024642
rolling_sortino_ratio,inf,,-3.136538725560234,0.0,2.9925423654924197,inf,,-3.7446053249884224,-0.06081658449910808,5.1822409286583255,,
rolling_profit_factor,inf,,0.42070996503669833,0.978533426512678,2.2880519062337137,1.2317181665169603,1.0931802057701978,0.4776427209298243,0.8307641510374383,1.8209472227790944,,
avg_win_21d,,,,,,,,,,,,
avg_loss_21d,,,,,,,,,,,,
