feature,train_importance,recent_importance,importance_change
rolling_vol_21,2927.4797315974665,1730.2058283426586,-1197.273903254808
ewm_volume_21,1154.262194924946,781.0686070150842,-373.1935879098618
rolling_vol_7,2020.4941800316124,1672.635179588719,-347.8590004428934
ewm_pnl_21,429.0043860250701,189.20387756232518,-239.80050846274494
cumulative_pnl,321.6287422706365,407.9028506981694,86.2741084275329
ewm_volume_3,404.70238231116815,318.57292585492286,-86.1294564562453
gross_profit,282.29114199124524,197.67965495296718,-84.61148703827806
ewm_pnl_7,252.66036735785548,187.92847304603785,-64.73189431181763
daily_gross,221.21613303274273,160.17530595350547,-61.04082707923726
date_idx,117.25233435355075,67.16183081038893,-50.090503543161816
daily_volume,567.5020947148164,518.349638059149,-49.15245665566738
rolling_profit_factor,186.31055378836507,138.41585861237104,-47.89469517599403
avg_trades_21d,270.10203449718,223.68418418630634,-46.41785031087366
rolling_max_drawdown,133.2589024879547,95.4721811543212,-37.78672133363351
ewm_volume_7,121.10315009190906,84.52901238407306,-36.574137707836
ewm_pnl_3,274.94170225853344,242.42305814161048,-32.51864411692296
n_trades,135.50607275248848,118.31680485804115,-17.189267894447326
gross_loss,54.64336568866804,40.679859296922324,-13.963506391745717
rolling_sortino_ratio,170.7232698241378,157.57569460585296,-13.147575218284828
daily_fees,166.4198599346152,157.68914294947047,-8.730716985144738
large_loss_recent,47.233589662634415,40.25838127116479,-6.975208391469629
win_rate_21d,64.59062687207596,66.7433642230177,2.1527373509417487
revenge_trading_proxy,10.424589303976314,8.654429343155044,-1.7701599608212693
daily_loss_flag,1.7655321429337112,1.529537510762259,-0.2359946321714521
avg_win_21d,0.0,0.0,0.0
avg_loss_21d,0.0,0.0,0.0
